"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",전북특별자치도,정읍,연지동,29,26,15,21,19**,23
"도시대기",전북특별자치도,정읍,신태인,31,31,21,32,25,32
"도시대기",전북특별자치도,정읍,영파동,32,30,20,28,22,27
"도시대기",전북특별자치도,고창,고창읍,30,24,15,20,17,25
"도시대기",전북특별자치도,고창,심원면,30,26,18,22,22,28
"도시대기",전북특별자치도,부안,부안읍,33,32,18,25,22,31
"도시대기",전북특별자치도,부안,계화면,30,29,16,23,23,33
"도시대기",전북특별자치도,김제,요촌동,32,32,17,24,23,32
"도시대기",전북특별자치도,김제,광활면,33,34,15,24,24,31
"도시대기",전북특별자치도,완주,고산면,27,27,14,20,17,20
"도시대기",전북특별자치도,완주,봉동읍,32,30,16,21,18,21
"도시대기",전북특별자치도,완주,구이면,26,25,16,21,17,18
"도시대기",전북특별자치도,진안,진안읍,26,26,17,20,16,16
"도시대기",전북특별자치도,무주,무주읍,24,24,18,22,15,16
"도시대기",전북특별자치도,무주,안성면,27,23,13,18,16,21
"도시대기",전북특별자치도,순창,순창읍,31,28,21,26,24,27
"도시대기",전북특별자치도,장수,장수읍,30,28,18,24,20,22
"도시대기",전북특별자치도,장수,장계면,26,23,13,19,16,16
"도시대기",전라남도,화순,화순읍,23,21,14,21,16,18
"도시대기",전라남도,여수,서강동,25,21,15,20,16,18
"도시대기",전라남도,여수,월내동,33,29,27,36,28,21
"도시대기",전라남도,여수,문수동,23,19,14,19,16*,17
"도시대기",전라남도,여수,여천동,24,19,17,23,17,18
"도시대기",전라남도,여수,덕충동,26,22,17,22,17,16
"도시대기",전라남도,여수,화양면,25,21,14,19,16,19
"도시대기",전라남도,여수,율촌면,28,23,15,22,19,19
"도시대기",전라남도,여수,삼일동,25,22,15,21,17,19
"도시대기",전라남도,광양,중동,-,24,16,21,16,16
"도시대기",전라남도,광양,태인동,31,30,22,23,17,14
"도시대기",전라남도,광양,봉강면,21,22,19,24,19,14
"도시대기",전라남도,광양,광양읍,23,22,18,25,-,-
"도시대기",전라남도,광양,진월면,28,27,21,25,20,17
"도시대기",전라남도,순천,장천동,27,21,15,19,16,19
"도시대기",전라남도,순천,연향동,26,22,16,20,20,20
"도시대기",전라남도,순천,순천만,26,22,15,21,19,19
"도시대기",전라남도,순천,호두리,25,20,11,18,16,17
"도시대기",전라남도,순천,신대,24,21,13,20,15,16*
"도시대기",전라남도,목포,용당동,28,22,17,22,25**,-
"도시대기",전라남도,목포,부흥동,23**,20,17,20,17,19
"도시대기",전라남도,영암,영암읍,34,28,20,26,23,30
"도시대기",전라남도,영암,대불,52,41,35,42,39,45
"도시대기",전라남도,나주,빛가람동,38,-,-,25**,19,25
"도시대기",전라남도,담양,담양읍,31,29,16,21,19,26
"도시대기",전라남도,장성,장성읍,31,28,20,24,22,26
"도시대기",전라남도,해남,해남읍,29,23,22,26,23,23
"도시대기",전라남도,영광,영광읍,30,26,16,21,19,27
"도시대기",전라남도,장흥,장흥읍,25,22,15,22,21,22*
"도시대기",전라남도,진도,진도읍,26,18,15,19,17,20
"도시대기",전라남도,완도,신지면,27,20,17,21**,19**,19
"도시대기",전라남도,함평,함평읍,27,23,16,20,18,22
"도시대기",전라남도,고흥,고흥읍,23,20,14,19,17,19
"도시대기",전라남도,신안,신안군,29,24,19,22,20,23
"도시대기",전라남도,무안,무안읍,32,28,19,24,22,27
"도시대기",전라남도,무안,남악오룡,-,-,-,-,23**,33
"도시대기",전라남도,강진,강진읍,20**,23,20,25,21,21
"도시대기",전라남도,곡성,곡성읍,25,20,14,19,16,18
"도시대기",전라남도,구례,구례읍,23,20,11,17,14,16
"도시대기",전라남도,보성,벌교읍,25,21,15,20,18,19
"도시대기",전라남도,보성,보성읍,24,22,20,25,20,21
